",,,","3PAr,","Age,","Arena,","Attend.,","Attend./G,","DRB%,","DRtg,","Defense Four Factors,","FT/FGA,","L,","MOV,","NRtg,","ORtg,","Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,","PL,","PW,","Pace,","Rk,","SOS,","SRS,","TOV%,","TS%,","Team,","W,","eFG%,"
26,.481,28,Verizon Center,"664,398","16,205",.239,.283,27.6,.502,-4.78,104.2,.183,91.6,Washington Wizards,-4.72,0.06,.524,26,109.4,-5.2,72.4,13.9,56,54,12.8
27,.474,26,The Palace of Auburn Hills,"768,826","18,752",.264,.303,26.7,.526,-5.11,105.6,.180,88.5,Detroit Pistons,-5.02,0.09,.515,27,111.4,-5.8,73.4,12.8,55,56,14.2
28,.491,24,STAPLES Center,"670,063","16,343",.214,.283,27.3,.509,-6.35,103.3,.221,92.6,Los Angeles Clippers,-6.01,0.34,.529,29,110.1,-6.8,74.0,14.8,53,58,12.2
29,.478,17,Target Center,"619,170","15,102",.220,.278,24.1,.525,-9.60,101.7,.171,96.1,Minnesota Timberwolves,-9.06,0.54,.518,15,111.6,-9.9,73.6,14.6,67,65,13.0
30,.458,17,Izod Center,"537,230","13,103",.229,.307,24.8,.517,-9.12,100.6,.181,91.4,New Jersey Nets,-8.93,0.19,.509,12,110.5,-9.9,71.8,13.7,70,65,13.3
1,.524,61,AmericanAirlines Arena,"810,930","19,779",.223,.363,29.0,.475,7.46,111.7,.235,90.9,Miami Heat *,6.76,-0.71,.573,58,103.5,+8.2,75.5,13.5,24,21,12.6
2,.501,61,United Center,"893,462","21,792",.222,.305,26.4,.463,7.32,108.3,.215,90.4,Chicago Bulls *,6.53,-0.79,.541,62,100.3,+8.0,76.2,13.5,20,21,13.6
3,.502,58,STAPLES Center,"778,877","18,997",.181,.293,30.2,.477,6.11,111.0,.220,90.7,Los Angeles Lakers *,6.01,-0.10,.545,57,104.3,+6.7,72.3,12.3,25,24,12.8
4,.527,56,AT&T Center,"750,879","18,314",.190,.299,28.8,.491,5.71,111.8,.261,92.3,San Antonio Spurs *,5.86,0.16,.567,61,105.6,+6.2,74.6,12.8,21,26,12.6
5,.519,57,TD Garden,"763,584","18,624",.235,.305,29.5,.469,5.37,106.2,.180,90.4,Boston Celtics *,4.83,-0.54,.561,56,100.3,+5.9,74.7,14.5,26,25,14.8
6,.521,56,Amway Center,"777,852","18,972",.219,.328,27.6,.475,5.46,107.9,.328,91.2,Orlando Magic *,4.92,-0.54,.554,52,102.0,+5.9,76.9,14.3,30,26,13.3
7,.526,54,Pepsi Center,"696,568","16,989",.224,.367,27.3,.500,4.76,112.3,.258,95.6,Denver Nuggets *,4.81,0.05,.574,50,107.3,+5.0,75.4,13.1,32,28,12.7
8,.525,53,American Airlines Center,"824,162","20,102",.206,.286,30.9,.488,4.23,109.7,.274,91.3,Dallas Mavericks *,4.41,0.18,.565,57,105.0,+4.7,74.8,13.6,25,29,13.0
9,.501,51,Chesapeake Energy Arena,"744,068","18,148",.228,.363,23.7,.493,3.79,111.2,.212,92.7,Oklahoma City Thunder *,3.81,0.02,.561,55,107.2,+4.0,73.6,13.1,27,31,12.9
