,3PAr,Age,DRB%,DRtg,Defense Four Factors,FT/FGA,FTr,L,MOV,ORB%,ORtg,Offense Four Factors,PL,PW,Pace,Rk,SOS,SRS,TOV%,TS%,Team,W,eFG%
38,26.5,1.46,"15,818",.538,44,.194,15.1,1.30,+1.6,74.2,.211,Charlotte Bobcats *,102.8,104.4,.490,45,90.4,.346,"648,520",.260,37,-0.17,Time Warner Cable Arena
40,26.9,-0.37,"16,528",.537,42,.215,13.2,-0.02,-0.4,73.8,.265,Houston Rockets,108.0,107.6,.494,40,94.0,.292,"677,658",.225,42,0.35,Toyota Center
42,31.3,-1.51,"13,486",.536,40,.205,13.7,-1.39,-1.6,73.3,.148,Memphis Grizzlies,109.9,108.3,.494,37,93.6,.320,"552,914",.235,45,0.13,FedEx Forum
41,26.6,-1.63,"20,726",.520,41,.212,13.3,-1.64,-1.8,74.8,.156,Chicago Bulls *,105.3,103.5,.477,36,93.1,.287,"849,760",.217,46,0.00,United Center
42,24.7,-1.78,"17,897",.564,40,.247,12.7,-1.83,-1.9,72.9,.211,Toronto Raptors,113.2,111.3,.521,36,93.1,.319,"733,784",.244,46,-0.05,Air Canada Centre
45,24.8,-2.46,"15,058",.543,37,.205,12.7,-2.27,-2.7,73.8,.230,New Orleans Hornets,110.1,107.4,.506,34,92.6,.243,"617,366",.189,48,0.19,New Orleans Arena
50,21.6,-3.01,"14,202",.536,32,.258,13.8,-3.11,-3.1,73.0,.278,Indiana Pacers,106.8,103.7,.491,33,97.1,.296,"582,295",.229,49,-0.10,Conseco Fieldhouse
56,20.9,-3.60,"18,027",.557,26,.260,13.1,-3.28,-3.6,68.5,.238,Golden State Warriors,111.7,108.1,.514,32,100.4,.294,"739,120",.230,50,0.32,Oracle Arena
53,23.5,-3.82,"19,501",.547,29,.207,13.0,-4.01,-4.0,72.1,.312,New York Knicks,111.6,107.6,.509,31,94.0,.256,"799,550",.200,51,-0.19,Madison Square Garden (IV)
55,27.6,-3.90,"14,225",.534,27,.231,13.7,-3.93,-4.2,73.2,.206,Philadelphia 76ers,110.3,106.1,.496,30,91.6,.270,"583,219",.204,52,-0.03,Wachovia Center
57,27.8,-4.37,"13,254",.528,25,.244,13.6,-4.06,-4.6,73.5,.201,Sacramento Kings,109.9,105.3,.491,29,94.0,.286,"543,416",.207,53,0.30,Power Balance Pavilion
56,27.6,-4.78,"16,205",.524,26,.239,13.9,-4.72,-5.2,72.4,.183,Washington Wizards,109.4,104.2,.481,28,91.6,.283,"664,398",.216,54,0.06,Verizon Center
55,30.3,-5.11,"18,752",.515,27,.264,12.8,-5.02,-5.8,73.4,.180,Detroit Pistons,111.4,105.6,.474,26,88.5,.303,"768,826",.220,56,0.09,The Palace of Auburn Hills
53,27.1,-6.35,"16,343",.529,29,.214,14.8,-6.01,-6.8,74.0,.221,Los Angeles Clippers,110.1,103.3,.491,24,92.6,.283,"670,063",.206,58,0.34,STAPLES Center
67,26.7,-9.60,"15,102",.518,15,.220,14.6,-9.06,-9.9,73.6,.171,Minnesota Timberwolves,111.6,101.7,.478,17,96.1,.278,"619,170",.207,65,0.54,Target Center
70,25.1,-9.12,"13,103",.509,12,.229,13.7,-8.93,-9.9,71.8,.181,New Jersey Nets,110.5,100.6,.458,17,91.4,.307,"537,230",.240,65,0.19,Izod Center
24,25.2,7.46,"19,779",.573,58,.223,13.5,6.76,+8.2,75.5,.235,Miami Heat *,103.5,111.7,.524,61,90.9,.363,"810,930",.279,21,-0.71,AmericanAirlines Arena
20,29.4,7.32,"21,792",.541,62,.222,13.5,6.53,+8.0,76.2,.215,Chicago Bulls *,100.3,108.3,.501,61,90.4,.305,"893,462",.227,21,-0.79,United Center
25,29.2,6.11,"18,997",.545,57,.181,12.3,6.01,+6.7,72.3,.220,Los Angeles Lakers *,104.3,111.0,.502,58,90.7,.293,"778,877",.228,24,-0.10,STAPLES Center
21,24.9,5.71,"18,314",.567,61,.190,12.8,5.86,+6.2,74.6,.261,San Antonio Spurs *,105.6,111.8,.527,56,92.3,.299,"750,879",.229,26,0.16,AT&T Center
26,21.1,5.37,"18,624",.561,56,.235,14.5,4.83,+5.9,74.7,.180,Boston Celtics *,100.3,106.2,.519,57,90.4,.305,"763,584",.235,25,-0.54,TD Garden
30,26.1,5.46,"18,972",.554,52,.219,14.3,4.92,+5.9,76.9,.328,Orlando Magic *,102.0,107.9,.521,56,91.2,.328,"777,852",.227,26,-0.54,Amway Center
32,23.9,4.76,"16,989",.574,50,.224,13.1,4.81,+5.0,75.4,.258,Denver Nuggets *,107.3,112.3,.526,54,95.6,.367,"696,568",.281,28,0.05,Pepsi Center
25,24.1,4.23,"20,102",.565,57,.206,13.6,4.41,+4.7,74.8,.274,Dallas Mavericks *,105.0,109.7,.525,53,91.3,.286,"824,162",.222,29,0.18,American Airlines Center
27,27.4,3.79,"18,148",.561,55,.228,13.1,3.81,+4.0,73.6,.212,Oklahoma City Thunder *,107.2,111.2,.501,51,92.7,.363,"744,068",.299,31,0.02,Chesapeake Energy Arena
36,28.9,2.34,"14,651",.534,46,.228,13.0,2.55,+2.5,72.5,.136,Memphis Grizzlies *,105.1,107.6,.493,48,91.9,.291,"600,687",.218,34,0.20,FedEx Forum
39,27.4,2.18,"16,191",.550,43,.219,12.3,2.37,+2.3,72.7,.264,Houston Rockets,109.0,111.3,.503,47,94.2,.299,"663,839",.239,35,0.19,Toyota Center
34,29.5,1.52,"20,510",.533,48,.231,12.6,1.85,+1.7,72.0,.228,Portland Trail Blazers *,107.1,108.8,.486,46,87.9,.278,"840,924",.224,36,0.32,Rose Garden Arena
41,24.6,1.50,"14,752",.535,41,.231,12.3,1.01,+1.6,74.5,.184,Philadelphia 76ers *,105.0,106.6,.494,45,91.7,.273,"604,823",.210,37,-0.50,Wells Fargo Center
36,25.1,0.89,"14,709",.537,46,.220,12.8,1.28,+1.0,76.2,.192,New Orleans Hornets *,105.2,106.2,.493,44,88.7,.296,"603,088",.226,38,0.39,New Orleans Arena
40,24.2,0.78,"19,729",.561,42,.240,12.6,0.48,+0.8,71.9,.303,New York Knicks *,110.1,110.9,.513,43,95.6,.304,"808,879",.246,39,-0.30,Madison Square Garden (IV)
47,24.7,-0.84,"15,412",.511,35,.236,13.0,-1.02,-0.9,74.8,.216,Milwaukee Bucks,102.5,101.6,.467,38,89.8,.287,"631,912",.217,44,-0.17,Bradley Center
42,23.7,-0.89,"17,567",.559,40,.211,13.2,-0.46,-0.9,71.6,.271,Phoenix Suns,110.4,109.5,.522,39,94.4,.283,"720,249",.215,43,0.43,US Airways Center
38,23.4,-0.82,"15,649",.542,44,.211,13.5,-1.10,-0.9,74.6,.222,Atlanta Hawks *,107.0,106.1,.501,39,89.3,.269,"641,596",.209,43,-0.28,Philips Arena
45,25.9,-1.07,"13,538",.533,37,.237,14.1,-1.38,-1.2,74.1,.244,Indiana Pacers *,106.0,104.8,.486,38,94.7,.300,"555,077",.235,44,-0.30,Conseco Fieldhouse
43,27.0,-1.83,"19,512",.544,39,.275,13.5,-1.44,-2.0,71.7,.191,Utah Jazz,110.1,108.1,.498,36,91.0,.313,"799,982",.241,46,0.39,EnergySolutions Arena
46,26.7,-2.33,"18,693",.544,36,.259,13.3,-2.00,-2.5,69.3,.248,Golden State Warriors,110.7,108.2,.510,35,94.8,.241,"766,398",.183,47,0.33,Oracle Arena
50,28.4,-3.13,"17,743",.535,32,.250,15.1,-2.71,-3.4,73.2,.230,Los Angeles Clippers,108.7,105.3,.496,32,92.8,.332,"727,462",.234,50,0.42,STAPLES Center
52,27.4,-3.60,"16,660",.533,30,.235,12.5,-3.78,-4.0,72.1,.189,Detroit Pistons,111.7,107.7,.495,31,89.2,.279,"683,080",.206,51,-0.18,The Palace of Auburn Hills
48,25.7,-4.00,"15,846",.528,34,.229,14.1,-4.08,-4.4,75.2,.189,Charlotte Bobcats,107.8,103.4,.482,29,89.6,.314,"649,694",.237,53,-0.08,Time Warner Cable Arena
58,29.9,-5.34,"13,890",.519,24,.233,14.4,-4.80,-5.5,74.4,.183,Sacramento Kings,109.0,103.5,.480,27,95.2,.284,"569,496",.208,55,0.54,Power Balance Pavilion
58,26.1,-6.24,"13,949",.517,24,.241,13.4,-6.28,-6.8,74.2,.201,New Jersey Nets,109.9,103.1,.474,24,89.9,.283,"581,378",.215,58,-0.04,Prudential Center
60,28.2,-6.28,"16,592",.533,22,.251,13.7,-6.28,-6.8,72.0,.162,Toronto Raptors,112.9,106.1,.491,24,92.9,.293,"680,255",.221,58,0.01,Air Canada Centre
65,29.6,-6.63,"15,243",.526,17,.251,15.1,-5.97,-6.9,73.7,.223,Minnesota Timberwolves,111.1,104.2,.483,24,96.5,.282,"624,960",.217,58,0.67,Target Center
59,28.0,-7.40,"16,792",.513,23,.249,13.9,-7.30,-7.8,70.5,.172,Washington Wizards,110.2,102.4,.471,22,93.8,.290,"688,466",.216,60,0.11,Verizon Center
63,24.2,-9.01,"20,112",.518,19,.211,13.4,-8.88,-9.6,73.3,.224,Cleveland Cavaliers,111.8,102.2,.472,18,93.0,.312,"824,595",.233,64,0.14,Quicken Loans Arena
16,32.6,8.18,"22,161",.523,50,.175,13.2,7.43,+9.1,74.3,.205,Chicago Bulls *,98.3,107.4,.490,51,89.1,.255,"731,326",.184,15,-0.76,United Center
16,25.1,7.17,"18,397",.562,50,.168,12.8,7.28,+7.7,76.0,.257,San Antonio Spurs *,103.2,110.9,.528,48,92.9,.261,"607,095",.195,18,0.11,AT&T Center
19,27.8,6.12,"18,203",.567,47,.207,15.3,6.44,+6.6,72.1,.252,Oklahoma City Thunder *,103.2,109.8,.516,46,93.0,.334,"600,699",.269,20,0.32,Chesapeake Energy Arena
20,26.6,5.98,"19,935",.549,46,.200,14.5,5.72,+6.4,73.9,.198,Miami Heat *,100.2,106.6,.505,47,91.2,.307,"657,855",.238,19,-0.27,AmericanAirlines Arena
31,24.4,4.24,"17,503",.511,35,.192,10.9,3.59,+4.7,75.2,.175,Philadelphia 76ers *,99.2,103.9,.480,43,89.7,.217,"577,597",.161,23,-0.65,Wells Fargo Center
26,23.9,3.44,"15,200",.535,40,.186,13.4,2.67,+3.7,74.4,.249,Atlanta Hawks *,101.2,104.9,.500,41,90.2,.259,"501,593",.192,25,-0.77,Philips Arena
24,29.2,3.30,"14,169",.526,42,.222,13.1,2.60,+3.6,72.3,.198,Indiana Pacers *,103.1,106.7,.474,41,90.7,.321,"467,561",.251,25,-0.71,Bankers Life Fieldhouse
30,26.6,3.20,"19,763",.533,36,.224,14.9,2.39,+3.4,73.7,.288,New York Knicks *,101.0,104.4,.492,41,93.2,.306,"652,179",.227,25,-0.81,Madison Square Garden (IV)
28,27.7,2.88,"17,029",.556,38,.185,14.1,3.16,+3.0,74.3,.243,Denver Nuggets *,106.2,109.2,.516,39,94.2,.326,"561,966",.239,27,0.29,Pepsi Center
27,19.7,2.52,"18,624",.535,39,.216,14.7,2.26,+2.8,72.4,.194,Boston Celtics *,98.2,101.0,.496,39,90.4,.257,"614,592",.200,27,-0.26,TD Garden
26,29.5,2.56,"19,219",.533,40,.245,12.7,2.82,+2.8,73.2,.269,Los Angeles Clippers *,105.7,108.5,.502,39,89.2,.287,"634,237",.195,27,0.26,STAPLES Center
25,29.8,2.02,"15,710",.515,41,.227,13.6,2.43,+2.2,72.7,.157,Memphis Grizzlies *,101.8,104.0,.473,38,90.8,.277,"518,446",.211,28,0.42,FedEx Forum
25,29.1,1.42,"18,997",.534,41,.158,14.2,1.96,+1.6,74.8,.209,Los Angeles Lakers *,104.4,106.0,.491,36,90.5,.299,"626,901",.226,30,0.54,STAPLES Center
30,23.4,0.95,"20,335",.527,36,.203,13.4,1.78,+1.0,74.8,.271,Dallas Mavericks *,102.3,103.3,.489,35,91.4,.246,"671,050",.190,31,0.83,American Airlines Center
29,26.5,0.79,"18,897",.533,37,.190,14.5,0.46,+0.9,75.5,.346,Orlando Magic *,104.1,105.0,.506,35,89.0,.292,"623,587",.193,31,-0.33,Amway Center
30,30.2,0.62,"19,307",.525,36,.245,13.0,0.92,+0.7,73.8,.153,Utah Jazz *,106.1,106.8,.481,34,91.4,.302,"637,124",.227,32,0.30,EnergySolutions Arena
35,27.7,0.27,"14,719",.521,31,.217,12.9,-0.23,+0.3,70.9,.224,Milwaukee Bucks,105.2,105.5,.481,34,93.7,.250,"485,717",.194,32,-0.50,Bradley Center
32,27.5,0.23,"15,363",.529,34,.210,13.5,0.57,+0.3,73.4,.240,Houston Rockets,105.2,105.5,.492,34,91.7,.235,"506,994",.184,32,0.35,Toyota Center
33,25.8,-0.24,"15,598",.536,33,.200,13.3,0.29,-0.3,71.7,.238,Phoenix Suns,106.5,106.2,.499,32,92.6,.257,"514,718",.194,34,0.53,US Airways Center
38,26.3,-0.62,"20,496",.531,28,.199,13.4,-0.22,-0.7,72.8,.255,Portland Trail Blazers,106.4,105.7,.488,32,91.2,.263,"676,384",.209,34,0.41,Rose Garden Arena
40,27.5,-2.20,"17,491",.524,26,.187,14.0,-1.83,-2.3,73.0,.262,Minnesota Timberwolves,106.6,104.3,.477,28,93.3,.306,"577,197",.236,38,0.37,Target Center
43,22.9,-3.41,"18,858",.539,23,.237,13.3,-2.79,-3.7,69.1,.248,Golden State Warriors,109.1,105.4,.505,25,92.3,.227,"622,311",.175,41,0.62,Oracle Arena
43,25.9,-3.30,"16,836",.518,23,.260,14.8,-3.67,-3.7,75.4,.209,Toronto Raptors,104.5,100.8,.475,25,89.3,.274,"555,584",.211,41,-0.36,Air Canada Centre
45,27.5,-3.76,"15,110",.517,21,.218,15.2,-3.11,-4.2,73.1,.152,New Orleans Hornets,105.1,100.9,.476,24,88.3,.274,"498,618",.207,42,0.65,New Orleans Arena
46,27.3,-4.80,"16,728",.508,20,.229,14.2,-5.14,-5.2,70.9,.196,Washington Wizards,106.2,101.0,.472,22,92.5,.253,"552,038",.184,44,-0.34,Verizon Center
41,28.1,-4.79,"14,413",.510,25,.226,15.0,-5.19,-5.3,72.8,.175,Detroit Pistons,106.3,101.0,.468,22,89.2,.279,"475,638",.210,44,-0.40,The Palace of Auburn Hills
44,29.1,-5.68,"14,508",.510,22,.199,13.0,-4.95,-6.0,70.5,.228,Sacramento Kings,109.8,103.8,.472,21,94.7,.268,"478,764",.197,45,0.73,Power Balance Pavilion
44,27.8,-5.98,"13,961",.516,22,.209,14.3,-6.37,-6.7,70.7,.278,New Jersey Nets,109.6,102.9,.473,19,90.1,.269,"460,719",.209,47,-0.39,Prudential Center
45,28.9,-7.20,"15,927",.505,21,.202,14.3,-7.34,-7.8,72.2,.238,Cleveland Cavaliers,108.9,101.1,.463,17,91.3,.307,"525,577",.220,49,-0.14,Quicken Loans Arena
